Article ID,Name,Category,URL,Last Updated,Has Screenshots,Linked Pages
KB-001,zipBoard Help,General,https://help.zipboard.co,,No,"https://help.zipboard.co, https://help.zipboard.co/, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/176-api-documentation, https://help.zipboard.co/category/185-projects, https://help.zipboard.co/category/186-files, https://help.zipboard.co/category/187-tasks, https://help.zipboard.co/category/188-comments, https://help.zipboard.co/category/189-review-links, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/236-organization, https://help.zipboard.co/category/239-responses, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/369-for-super-admins, https://help.zipboard.co/category/370-for-managers, https://help.zipboard.co/category/371-for-collaborators, https://help.zipboard.co/category/372-for-clients, https://help.zipboard.co/category/373-general, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-002,zipBoard Help,General,https://help.zipboard.co/,,No,"https://help.zipboard.co/, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/176-api-documentation, https://help.zipboard.co/category/185-projects, https://help.zipboard.co/category/186-files, https://help.zipboard.co/category/187-tasks, https://help.zipboard.co/category/188-comments, https://help.zipboard.co/category/189-review-links, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/236-organization, https://help.zipboard.co/category/239-responses, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/369-for-super-admins, https://help.zipboard.co/category/370-for-managers, https://help.zipboard.co/category/371-for-collaborators, https://help.zipboard.co/category/372-for-clients, https://help.zipboard.co/category/373-general, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-003,Help Scout - Log In,Article,https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,,No,"https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack, https://help.zipboard.co/members/forgot-password"
KB-004,What is a Project Phase? - zipBoard Help,Article,https://help.zipboard.co/article/107-what-is-a-project-phase,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/article/190-what-is-a-kanban-board-and-how-can-i-use-it, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-005,How do I create a Project Phase? - zipBoard Help,Article,https://help.zipboard.co/article/108-how-do-i-create-a-project-phase,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-006,What is Project Phase Status? - zipBoard Help,Article,https://help.zipboard.co/article/109-what-is-project-phase-status,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-007,What is Completion Date in a Project Phase? - zipBoard Help,Article,https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-008,How Many Project Phases Can I Create? - zipBoard Help,Article,https://help.zipboard.co/article/111-how-many-project-phases-can-i-create,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-009,"How do I assign Files, Tasks and Comments to a project phase? - zipBoard Help",Article,https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/422-managing-task-types-at-the-project-level, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
KB-010,Who Can Create a Project Phase? - zipBoard Help,Article,https://help.zipboard.co/article/113-who-can-create-a-project-phase,,No,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users"
