url_a,title_a,url_b,title_b,distance
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.588401857895013
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",15.576200104758891
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",15.574855044645986
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.572399138502734
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",15.560166407037737
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",15.558874988127954
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.557808943144748
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.544995416691405
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.54181186794266
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/334-ive-been-given-a-share-link-with-view-all-boards-comments-only-access,"I've been given a share link with View All Boards/Reviews Only access, now what? - zipBoard Help",15.53895470885381
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",15.532704340382843
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",15.531516560392776
https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Help Scout - Log In,https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.527468613189718
https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",https://help.zipboard.co/category/118-getting-started-with-zipboard,Help Scout - Log In,15.527093690163134
https://help.zipboard.co/article/278-auto-generated-reports,Help Scout - Log In,https://help.zipboard.co/article/336-ive-been-given-a-share-link-with-view-all-and-add-new-boards-reviews-access,"I've been given a share link with View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.523109387611475
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/334-ive-been-given-a-share-link-with-view-all-boards-comments-only-access,"I've been given a share link with View All Boards/Reviews Only access, now what? - zipBoard Help",15.522969276505869
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/335-ive-been-given-a-share-link-with-add-new-boards-reviews-only-access,"I've been given a share link with Add New Boards/Reviews Only access, now what? - zipBoard Help",15.521981638173711
https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Help Scout - Log In,https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",15.515148732992069
https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",https://help.zipboard.co/category/118-getting-started-with-zipboard,Help Scout - Log In,15.514772275108262
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.514418438581126
https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Help Scout - Log In,https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",15.51400822016028
https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",https://help.zipboard.co/category/118-getting-started-with-zipboard,Help Scout - Log In,15.513634799194259
https://help.zipboard.co/article/278-auto-generated-reports,Help Scout - Log In,https://help.zipboard.co/article/339-ive-been-given-a-share-link-with-required-signup-login-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login + Add New Boards/Reviews access, now what? - zipBoard Help",15.510781251618294
https://help.zipboard.co/article/278-auto-generated-reports,Help Scout - Log In,https://help.zipboard.co/article/338-ive-been-given-a-share-link-with-required-signup-login-and-view-all-boards-comments-access-now-what,"I've been given a share link with Required Signup/Login + View All Boards/Comments access, now what? - zipBoard Help",15.509655166353918
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/335-ive-been-given-a-share-link-with-add-new-boards-reviews-only-access,"I've been given a share link with Add New Boards/Reviews Only access, now what? - zipBoard Help",15.505958669116263
https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Help Scout - Log In,https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.496897251069393
https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",https://help.zipboard.co/category/118-getting-started-with-zipboard,Help Scout - Log In,15.496522557068863
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/334-ive-been-given-a-share-link-with-view-all-boards-comments-only-access,"I've been given a share link with View All Boards/Reviews Only access, now what? - zipBoard Help",15.49559832224764
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/article/327-so-ive-been-given-a-zipboard-share-link-now-what,"So I've been given a zipBoard share link, now what? - zipBoard Help",15.49504094149355
https://help.zipboard.co/article/278-auto-generated-reports,Help Scout - Log In,https://help.zipboard.co/article/340-ive-been-given-a-share-link-with-required-signup-login-view-all-and-add-new-boards-reviews-access-now-what,"I've been given a share link with Required Signup/Login, + View All + Add New Boards/Reviews access, now what? - zipBoard Help",15.49253951985341
https://help.zipboard.co/article/309-how-update-task-statuses,Help Scout - Log In,https://help.zipboard.co/category/380-sharing-links-to-external-collaborators,Sharing Files with External Collaborators - zipBoard Help,15.488964789715489
https://help.zipboard.co/article/280-task-management-with-zipboard,Help Scout - Log In,https://help.zipboard.co/article/327-so-ive-been-given-a-zipboard-share-link-now-what,"So I've been given a zipBoard share link, now what? - zipBoard Help",15.47902595327269
https://help.zipboard.co/article/314-assign-phases-to-content,Help Scout - Log In,https://help.zipboard.co/article/335-ive-been-given-a-share-link-with-add-new-boards-reviews-only-access,"I've been given a share link with Add New Boards/Reviews Only access, now what? - zipBoard Help",15.478516839721806
https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Help Scout - Log In,https://help.zipboard.co/article/334-ive-been-given-a-share-link-with-view-all-boards-comments-only-access,"I've been given a share link with View All Boards/Reviews Only access, now what? - zipBoard Help",15.478087430142114
https://help.zipboard.co/article/334-ive-been-given-a-share-link-with-view-all-boards-comments-only-access,"I've been given a share link with View All Boards/Reviews Only access, now what? - zipBoard Help",https://help.zipboard.co/category/118-getting-started-with-zipboard,Help Scout - Log In,15.477713391596085
