Article ID,URL,Name,Category,cluster,x,y,z,top_terms
KB-104,https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Track All Your Visual Bug Reports From Slack,Article,2,-3.745442,14.686716,3.8223531,"javascript, browser, option, google, click, restart, effect, mac"
KB-107,https://help.zipboard.co/article/107-what-is-a-project-phase,What Is A Project Phase,Article,9,7.844503,15.961749,2.2733383,"phase, project, stages, example, create, kanban, integration, development"
KB-108,https://help.zipboard.co/article/108-how-do-i-create-a-project-phase,How Do I Create A Project Phase,Article,9,7.785518,16.008371,2.3483162,"phase, integration, project, estimated, create, completion, optional, tools"
KB-109,https://help.zipboard.co/article/109-what-is-project-phase-status,What Is Project Phase Status,Article,9,7.806472,16.011232,2.373564,"phase, project, set, integration, status, create, hold, right"
KB-110,https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase,What Is Completion Date In A Project Phase,Article,9,7.724058,16.102928,2.3068244,"phase, project, completion, date, integration, create, finished, marker"
KB-111,https://help.zipboard.co/article/111-how-many-project-phases-can-i-create,How Many Project Phases Can I Create,Article,9,7.7611275,16.050186,2.389443,"phase, project, create, phases, integration, limit, plans, completion"
KB-112,https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase,How Do I Assign Files Tasks And Comments To A Project Phase,Article,9,7.735227,16.058128,2.3560116,"phase, add, existing, project, tasks, select, comments, click"
KB-113,https://help.zipboard.co/article/113-who-can-create-a-project-phase,Who Can Create A Project Phase,Article,9,7.772204,16.046114,2.354208,"phase, project, create, integration, owners, completion, tools, 11"
KB-114,https://help.zipboard.co/article/114-how-do-i-install-zipboards-internet-explorer-extension,How Do I Install Zipboards Internet Explorer Extension,Article,7,10.786115,12.848063,6.4867263,"internet, explorer, button, install, run, click, plugin, zipboard"
KB-119,https://help.zipboard.co/article/119-signing-up-for-zipboard,Signing Up For Zipboard,Article,6,11.654049,12.273415,5.5680065,"sign, sso, zipboard, guide, organization, enterprise, review, credentials"
KB-120,https://help.zipboard.co/article/120-log-in-to-zipboard,Log In To Zipboard,Article,6,11.378736,12.041686,5.8516293,"password, step, login, zipboard, forgot, log, click, account"
KB-121,https://help.zipboard.co/article/121-recover-account-or-forgotten-password,Recover Account Or Forgotten Password,Article,6,11.385385,11.910456,5.8988075,"password, recover, forgot, reset, forget, forgotten, redirected, link"
KB-122,https://help.zipboard.co/article/122-adding-a-collaborator-or-reviewer-account,Adding A Collaborator Or Reviewer Account,Article,3,11.658424,16.79166,3.4429288,"reviewer, collaborator, project, add, invite, appears, reviewers, invited"
KB-123,https://help.zipboard.co/article/123-adding-a-manager-account,Adding A Manager Account,Article,3,11.685973,16.977762,2.7824733,"managers, organization, business, manager, member, added, add, admins"
KB-125,https://help.zipboard.co/article/125-creating-a-project,Creating A Project,Article,5,12.096454,13.16127,3.8284464,"template, scratch, project, option, design, templates, build, zipboard"
KB-126,https://help.zipboard.co/article/126-working-in-the-zipboard-account-dashboard,Working In The Zipboard Account Dashboard,Article,0,10.3039875,14.819881,3.7863119,"dashboard, project, cards, search, zipboard, working, bar, integration"
KB-127,https://help.zipboard.co/article/127-managing-the-project-dashboard,Managing The Project Dashboard,Article,0,10.124944,14.618975,3.9730005,"project, tasks, displays, dashboard, properties, shows, menu, create"
KB-128,https://help.zipboard.co/article/128-parts-of-a-zipboard-project,Parts Of A Zipboard Project,Article,0,9.956096,14.693989,4.0471396,"project, panel, properties, phase, tasks, selecting, captured, file"
KB-129,https://help.zipboard.co/article/129-create-and-modify-a-task,Create And Modify A Task,Article,0,9.803208,14.165065,4.472471,"task, modify, properties, information, select, project, click, add"
KB-130,https://help.zipboard.co/article/130-converting-comments-to-tasks,Converting Comments To Tasks,Article,0,10.142161,13.839367,4.3542805,"converted, converting, feedback, integration, task, concerned, comment, conversion"
KB-131,https://help.zipboard.co/article/131-can-my-clients-be-external-collaborators-for-my-zipboard-project,Can My Clients Be External Collaborators For My Zipboard Project,Article,3,12.2025175,16.431612,3.9794862,"clients, share, project, link, admins, ask, lifecycle, zipboard"
KB-134,https://help.zipboard.co/article/134-how-to-use-zipboard-for-beta-testing,How To Use Zipboard For Beta Testing,Article,8,11.1409855,15.219563,5.115137,"beta, testing, project, file, users, link, select, click"
KB-136,https://help.zipboard.co/article/136-how-to-share-a-file-in-zipboard,How To Share A File In Zipboard,Article,8,12.128861,16.271801,4.6783323,"guests, file, share, guest, permissions, feedback, access, zipboard"
KB-137,https://help.zipboard.co/article/137-how-to-track-and-prioritise-the-feddback-from-guest-in-zipboard,How To Track And Prioritise The Feddback From Guest In Zipboard,Article,8,10.797168,14.7354965,5.0097055,"reply, feedback, prioritise, select, track, comments, project, task"
KB-138,https://help.zipboard.co/article/138-how-are-guest-collaborators-different-from-guest-reviewers,How Are Guest Collaborators Different From Guest Reviewers,Article,3,12.0083685,16.636232,4.078526,"guest, reviewers, shared, link, review, invited, sign, internal"
KB-139,https://help.zipboard.co/article/139-who-are-referred-to-as-guests-in-my-zipboard-project,Who Are Referred To As Guests In My Zipboard Project,Article,3,11.909261,16.715832,3.970769,"referred, guests, admins, addressed, guest, anytime, july, link"
KB-140,https://help.zipboard.co/article/140-do-i-have-a-keyboard-shortcut-to-click-screens-in-zipboard,Do I Have A Keyboard Shortcut To Click Screens In Zipboard,Article,7,10.954245,13.938082,6.0372353,"screenshot, shortcut, keyboard, page, screens, visible, integration, ctrl"
KB-143,https://help.zipboard.co/article/143-can-i-delete-my-account,Can I Delete My Account,Article,7,11.8981,13.271076,6.606158,"profile, zipboard, delete, wish, upload, integration, review, facing"
KB-144,https://help.zipboard.co/article/144-can-i-access-all-my-tasks-across-all-projects-at-one-place,Can I Access All My Tasks Across All Projects At One Place,Article,0,10.073456,13.762781,4.290422,"tasks, access, integration, place, comment, 2020, april, task"
KB-145,https://help.zipboard.co/article/145-email-alerts-zipboard,Email Alerts Zipboard,Article,3,10.857758,15.915006,3.2627451,"email, notification, alerts, notified, integration, assigned, weekly, task"
KB-148,https://help.zipboard.co/article/148-why-should-i-go-for-an-enterprise-plan,Why Should I Go For An Enterprise Plan,Article,4,9.773889,8.308395,9.453167,"plan, enterprise, custom, space, branding, storage, integration, roles"
KB-149,https://help.zipboard.co/article/149-what-custom-branding-options-are-available-with-zipboard-enterprise-plan,What Custom Branding Options Are Available With Zipboard Enterprise Plan,Article,4,9.704375,8.269348,9.489611,"plan, enterprise, custom, logo, branding, options, integration, zipboard"
KB-150,https://help.zipboard.co/article/150-how-can-i-manage-user-roles-better-with-enterprise-accounts,How Can I Manage User Roles Better With Enterprise Accounts,Article,3,12.377943,17.056211,3.0014787,"admin, org, enterprise, guest, roles, managers, clients, reviewers"
KB-151,https://help.zipboard.co/article/151-how-can-i-know-how-much-storage-space-i-have-utilized-for-my-current-plan,How Can I Know How Much Storage Space I Have Utilized For My Current Plan,Article,4,9.620728,8.325413,9.437563,"plan, space, storage, enterprise, utilized, org, integration, current"
KB-152,https://help.zipboard.co/article/152-how-can-tags-be-managed-better-with-enterprise-account,How Can Tags Be Managed Better With Enterprise Account,Article,4,9.677927,8.231041,9.528126,"enterprise, plan, org, managed, better, tags, manage, integration"
KB-153,https://help.zipboard.co/article/153-what-options-does-the-custom-pricing-plan-offers,What Options Does The Custom Pricing Plan Offers,Article,4,9.711732,8.205165,9.55405,"plan, enterprise, private, cloud, custom, instance, pricing, zipboard"
KB-154,https://help.zipboard.co/article/154-can-i-host-my-zipboard-account-on-a-private-cloud,Can I Host My Zipboard Account On A Private Cloud,Article,4,9.655232,8.229299,9.531175,"private, plan, host, cloud, enterprise, integration, custom, zipboard"
KB-155,https://help.zipboard.co/article/155-if-i-need-a-plan-for-30-projects-would-that-be-possible,If I Need A Plan For 30 Projects Would That Be Possible,Article,4,9.594402,8.192801,9.569273,"plan, enterprise, possible, requirements, 30, integration, know, custom"
KB-156,https://help.zipboard.co/article/156-im-unable-to-delete-the-annotations-how-can-i-do-that,Im Unable To Delete The Annotations How Can I Do That,Article,7,10.846983,13.552639,6.509528,"delete, annotation, board, annotations, unable, integration, screens, review"
KB-157,https://help.zipboard.co/article/157-how-can-i-get-my-web-hosted-content-reviewed-with-zipboard,How Can I Get My Web Hosted Content Reviewed With Zipboard,Article,7,11.901821,14.236518,6.406447,"content, review, web, hosted, reviewed, share, link, browse"
KB-158,https://help.zipboard.co/article/158-how-to-upload-and-review-scorm-valid-html-content-with-zipboard,How To Upload And Review Scorm Valid HTML Content With Zipboard,Article,7,12.218459,14.290336,6.3768773,"file, start, root, review, content, html, upload, share"
KB-159,https://help.zipboard.co/article/159-how-can-i-get-feedback-on-pdf-content,How Can I Get Feedback On Pdf Content,Article,7,11.878156,14.333167,6.4630237,"content, review, share, upload, link, pdf, browse, september"
KB-160,https://help.zipboard.co/article/160-how-to-upload-and-review-image-files-with-zipboard,How To Upload And Review Image Files With Zipboard,Article,7,11.972243,14.288524,6.3678565,"images, review, upload, share, zipboard, uploaded, link, uploading"
KB-161,https://help.zipboard.co/article/161-how-to-upload-and-review-video-files-with-zipboard,How To Upload And Review Video Files With Zipboard,Article,7,11.787275,14.437549,6.5071607,"videos, upload, review, uploads, mp4, share, link, file"
KB-161,https://help.zipboard.co/article/161-video-timestamp-comment,Video Timestamp Comment,Article,7,11.860359,14.380494,6.508327,"videos, upload, review, uploads, mp4, share, link, file"
KB-163,https://help.zipboard.co/article/163-how-can-i-work-on-diffrent-versions-of-my-files-with-zipboard,How Can I Work On Diffrent Versions Of My Files With Zipboard,Article,8,11.297419,14.998872,5.4553423,"versions, version, file, add, zipboard, work, different, testing"
KB-164,https://help.zipboard.co/article/164-what-is-the-add-client-button-for,What Is The Add Client Button For,Article,3,12.381889,16.268005,3.9844887,"clients, internal, zipboard, invitation, simplify, project, feedback, activities"
KB-165,https://help.zipboard.co/article/165-how-to-switch-to-kanban-view-for-tasks,How To Switch To Kanban View For Tasks,Article,0,10.270329,13.821364,4.15257,"switch, kanban, view, tasks, table, integration, depending, ease"
KB-166,https://help.zipboard.co/article/166-how-can-i-record-a-screen-for-review-using-zipboard,How Can I Record A Screen For Review Using Zipboard,Article,7,10.458782,14.122997,5.903294,"screen, record, recording, select, review, like, stop, want"
