Article ID,URL,Name,Category,Last Updated,Has Screenshots,YouTube Links,Image Links,Linked Pages,Topics Covered,Content Type,Word Count,cluster,x,y,z,top_terms
KB-104,https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Track All Your Visual Bug Reports From Slack,Article,,No,,,"https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack, https://help.zipboard.co/members/forgot-password","JavaScript, Slack, Option, Click, Browser, Changes, Visual Bug Reports, Enable",Troubleshooting,248,1,15.977102,9.008787,15.865978,"javascript, browser, option, google, click, restart, effect, mac"
KB-107,https://help.zipboard.co/article/107-what-is-a-project-phase,What Is A Project Phase,Article,2023-12-11,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/60faa64d64a230081ba1836d/file-QbvRpbNqxE.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/60faaa47b55c2b04bf6d7584/file-8bZucBnk8h.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/article/190-what-is-a-kanban-board-and-how-can-i-use-it, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, phase, project phase, phases, development, stages, tasks, tools",How-to Guide,286,8,5.32821,-3.164904,5.9380813,"phase, project, stages, example, create, kanban, integration, development"
KB-108,https://help.zipboard.co/article/108-how-do-i-create-a-project-phase,How Do I Create A Project Phase,Article,2023-12-11,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5e94127c04286364bc983e9f/file-oTcDmPkyt6.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/610297e9766e8844fc34b5ee/file-v4BiO2pWfU.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, project phase, create project, create, add phase, feedback, resources, tools",How-to Guide,165,8,5.3970394,-3.2539167,5.8757577,"phase, integration, project, estimated, create, completion, optional, tools"
KB-109,https://help.zipboard.co/article/109-what-is-project-phase-status,What Is Project Phase Status,Article,2023-12-11,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c292c0428634376cfefa7/file-0Ry6lgD7XS.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c29a70428634376cfefac/file-t1T1DVrhCC.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2a152c7d3a4a4198ee88/file-A668PNOdHf.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, project phase, phase status, integration, status, create, tools, resources",How-to Guide,255,8,5.4527097,-3.2719057,6.0115814,"phase, project, set, integration, status, create, hold, right"
KB-110,https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase,What Is Completion Date In A Project Phase,Article,2023-12-11,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2b100428634376cfefb6/file-blvCU7wje2.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2ba10428634376cfefba/file-VF4EqdQHgx.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2bb72c7d3a4a4198ee97/file-1jUAcmeIyt.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, phase, project phase, completion, completion date, integration, resources, tools",How-to Guide,245,8,5.3243523,-3.1519644,5.976126,"phase, project, completion, date, integration, create, finished, marker"
KB-111,https://help.zipboard.co/article/111-how-many-project-phases-can-i-create,How Many Project Phases Can I Create,Article,2023-12-11,No,,https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, phase, phases, create, project phases, create project, feedback, resources",How-to Guide,204,8,5.4231853,-3.266125,5.881937,"phase, project, create, phases, integration, limit, plans, completion"
KB-112,https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase,How Do I Assign Files Tasks And Comments To A Project Phase,Article,2024-10-22,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2cc22c7d3a4a4198ee9d/file-GYhgYp9vxx.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2ec62c7d3a4a4198eead/file-uvBirUjohM.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2ef40428634376cfefd0/file-uaCcz49m3U.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2f202c7d3a4a4198eeb0/file-sPI710nZ5D.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2f980428634376cfefd7/file-ucES4YALEA.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a7c2fd60428634376cfefdb/file-a4RCZxpOfK.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/422-managing-task-types-at-the-project-level, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, project phase, files, tasks, comments, add existing, assign, edit",How-to Guide,281,8,5.3616223,-3.1963878,5.9342265,"phase, add, existing, project, tasks, select, comments, click"
KB-113,https://help.zipboard.co/article/113-who-can-create-a-project-phase,Who Can Create A Project Phase,Article,2023-12-11,No,,https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png,"https://help.zipboard.co/, https://help.zipboard.co/article/107-what-is-a-project-phase, https://help.zipboard.co/article/108-how-do-i-create-a-project-phase, https://help.zipboard.co/article/109-what-is-project-phase-status, https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase, https://help.zipboard.co/article/111-how-many-project-phases-can-i-create, https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase, https://help.zipboard.co/article/113-who-can-create-a-project-phase, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","project, phase, project phase, create, resources, tools, collaborators, article",Reference,195,8,5.3923416,-3.2207892,5.919439,"phase, project, create, integration, owners, completion, tools, 11"
KB-114,https://help.zipboard.co/article/114-how-do-i-install-zipboards-internet-explorer-extension,How Do I Install Zipboards Internet Explorer Extension,Article,2023-12-05,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/5a8532360428634376d02654/file-wE2xJ20GVz.gif, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png","https://help.zipboard.co/, https://help.zipboard.co/article/114-how-do-i-install-zipboards-internet-explorer-extension, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","install zipboard, internet explorer extension, install, integration, use, steps, button, resources",How-to Guide,262,2,0.79071903,-3.7279303,2.8726861,"internet, explorer, button, install, run, click, plugin, zipboard"
KB-119,https://help.zipboard.co/article/119-signing-up-for-zipboard,Signing Up For Zipboard,Article,2025-01-29,No,,"https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6271887ac5cfff5d83fcc9ee/zipBoard.png, https://d33v4339jhl8k0.cloudfront.net/docs/assets/5a701f2c2c7d3a4a41985f45/images/6799af46bbfb2705b98fd434/file-EeSvAHICYV.png","https://help.zipboard.co/, https://help.zipboard.co/article/119-signing-up-for-zipboard, https://help.zipboard.co/article/125-creating-a-project, https://help.zipboard.co/article/158-how-to-upload-and-review-scorm-valid-html-content-with-zipboard, https://help.zipboard.co/article/160-how-to-upload-and-review-image-files-with-zipboard, https://help.zipboard.co/article/203-get-the-most-out-of-our-guides-in-zipboard, https://help.zipboard.co/article/212-signing-up-with-google, https://help.zipboard.co/article/226-how-do-i-share-my-website-pdf-file-html-scorm-file-images-or-video, https://help.zipboard.co/article/227-share-link-settings, https://help.zipboard.co/article/232-how-to-add-members-from-an-organization-or-project, https://help.zipboard.co/article/247-can-i-sign-in-using-a-microsoft-account-with-zipboard, https://help.zipboard.co/article/252-getting-started-with-zipboard, https://help.zipboard.co/article/265-how-to-review-and-collaborate-on-video-projects, https://help.zipboard.co/article/321-does-zipboard-have-sso, https://help.zipboard.co/article/359-mp3-file-sharing-feature, https://help.zipboard.co/article/388-how-to-review-a-zip-file, https://help.zipboard.co/article/403-complete-workflow-for-all-zipboard-users, https://help.zipboard.co/article/414-streamlining-aec-collaboration-with-zipboard, https://help.zipboard.co/category/106-project-phases, https://help.zipboard.co/category/12-task-manager, https://help.zipboard.co/category/13-jira-integration, https://help.zipboard.co/category/14-slack-integration, https://help.zipboard.co/category/147-enterprise, https://help.zipboard.co/category/204-wrike-integration, https://help.zipboard.co/category/224-client-feedback, https://help.zipboard.co/category/293-lambdatest-integration, https://help.zipboard.co/category/303-features, https://help.zipboard.co/category/363-microsoft-integration, https://help.zipboard.co/category/364-data-security-privacy, https://help.zipboard.co/category/365-troubleshooting-and-errors, https://help.zipboard.co/category/379-zbreviewboard-extension, https://help.zipboard.co/category/380-sharing-links-to-external-collaborators, https://help.zipboard.co/category/385-pdf-tools-and-resources, https://help.zipboard.co/category/386-image-videos-tools-and-resources, https://help.zipboard.co/category/387-url-zip-tools-and-resources, https://help.zipboard.co/category/4-introduction, https://help.zipboard.co/category/451-procore-integration, https://help.zipboard.co/category/5-general, https://help.zipboard.co/collection/1-knowledge-base, https://help.zipboard.co/collection/173-apis, https://help.zipboard.co/collection/366-zipboard-users","sign up, zipboard, account, create account, organization, integration, resources, tools",How-to Guide,460,7,0.30398828,-3.019549,3.9352024,"sign, sso, zipboard, guide, organization, enterprise, review, credentials"
