Article ID,URL,Name,Category,cluster,x,y,z,top_terms
KB-104,https://help.zipboard.co/article/104-track-all-your-visual-bug-reports-from-slack,Track All Your Visual Bug Reports From Slack,Article,2,9.426995,0.81289613,5.3921313,"javascript, browser, option, google, click, restart, effect, mac"
KB-107,https://help.zipboard.co/article/107-what-is-a-project-phase,What Is A Project Phase,Article,6,3.7223253,1.3025304,10.994184,"phase, project, stages, example, create, kanban, integration, development"
KB-108,https://help.zipboard.co/article/108-how-do-i-create-a-project-phase,How Do I Create A Project Phase,Article,6,3.6446848,1.2262373,10.917325,"phase, integration, project, estimated, create, completion, optional, 11"
KB-109,https://help.zipboard.co/article/109-what-is-project-phase-status,What Is Project Phase Status,Article,6,3.5027463,1.0846461,10.775017,"phase, project, set, integration, status, create, right, hold"
KB-110,https://help.zipboard.co/article/110-what-is-completion-date-in-a-project-phase,What Is Completion Date In A Project Phase,Article,6,3.5556657,1.1398984,10.829149,"phase, project, completion, date, integration, create, finished, marker"
KB-111,https://help.zipboard.co/article/111-how-many-project-phases-can-i-create,How Many Project Phases Can I Create,Article,6,3.6540663,1.2366217,10.9275055,"phase, project, create, phases, integration, limit, plans, completion"
KB-112,https://help.zipboard.co/article/112-how-do-i-assign-files-tasks-and-comments-to-a-project-phase,How Do I Assign Files Tasks And Comments To A Project Phase,Article,6,3.5934374,1.1763304,10.866614,"phase, add, existing, project, tasks, select, comments, click"
KB-113,https://help.zipboard.co/article/113-who-can-create-a-project-phase,Who Can Create A Project Phase,Article,6,3.611984,1.1936389,10.8845215,"phase, project, create, integration, owners, completion, 11, tools"
KB-114,https://help.zipboard.co/article/114-how-do-i-install-zipboards-internet-explorer-extension,How Do I Install Zipboards Internet Explorer Extension,Article,5,-2.7561023,-0.868016,4.3728414,"internet, explorer, button, install, run, click, plugin, zipboard"
KB-119,https://help.zipboard.co/article/119-signing-up-for-zipboard,Signing Up For Zipboard,Article,3,-3.4444532,-0.4962301,5.5108867,"sign, sso, zipboard, guide, organization, enterprise, credentials, review"
KB-120,https://help.zipboard.co/article/120-log-in-to-zipboard,Log In To Zipboard,Article,3,-3.243978,-0.15995869,5.377074,"password, step, login, zipboard, forgot, log, click, integration"
KB-121,https://help.zipboard.co/article/121-recover-account-or-forgotten-password,Recover Account Or Forgotten Password,Article,3,-3.2569776,0.008805036,5.3645926,"password, recover, forgot, reset, forgotten, forget, redirected, link"
KB-122,https://help.zipboard.co/article/122-adding-a-collaborator-or-reviewer-account,Adding A Collaborator Or Reviewer Account,Article,4,-2.6036644,-3.2654421,9.119962,"reviewer, collaborator, project, add, invite, appears, reviewers, invited"
KB-123,https://help.zipboard.co/article/123-adding-a-manager-account,Adding A Manager Account,Article,4,-2.6429102,-3.249502,9.578484,"managers, organization, business, manager, member, added, add, admins"
KB-125,https://help.zipboard.co/article/125-creating-a-project,Creating A Project,Article,3,-4.2375135,-1.2377645,7.1374636,"template, scratch, project, option, templates, design, build, zipboard"
KB-126,https://help.zipboard.co/article/126-working-in-the-zipboard-account-dashboard,Working In The Zipboard Account Dashboard,Article,8,-1.6787343,-1.7780892,7.4139066,"dashboard, project, cards, search, zipboard, working, integration, bar"
KB-127,https://help.zipboard.co/article/127-managing-the-project-dashboard,Managing The Project Dashboard,Article,8,-1.5712347,-1.7434356,7.2238746,"project, tasks, displays, dashboard, properties, shows, menu, create"
KB-128,https://help.zipboard.co/article/128-parts-of-a-zipboard-project,Parts Of A Zipboard Project,Article,8,-1.526543,-1.7724504,7.1991057,"project, panel, properties, tasks, phase, selecting, captured, file"
KB-129,https://help.zipboard.co/article/129-create-and-modify-a-task,Create And Modify A Task,Article,8,-1.1991514,-1.5524572,6.546636,"task, modify, properties, information, select, project, click, add"
KB-130,https://help.zipboard.co/article/130-converting-comments-to-tasks,Converting Comments To Tasks,Article,8,-1.3208177,-1.2974646,6.1865997,"converted, converting, feedback, integration, task, concerned, comment, conversion"
KB-131,https://help.zipboard.co/article/131-can-my-clients-be-external-collaborators-for-my-zipboard-project,Can My Clients Be External Collaborators For My Zipboard Project,Article,9,-3.3630552,-3.7416632,8.401838,"clients, share, project, link, admins, ask, lifecycle, zipboard"
KB-134,https://help.zipboard.co/article/134-how-to-use-zipboard-for-beta-testing,How To Use Zipboard For Beta Testing,Article,1,-2.746692,-2.501806,7.0356936,"beta, testing, project, file, users, link, select, click"
KB-135,https://help.zipboard.co/article/135-how-do-i-work-with-clients-in-zipboard,How Do I Work With Clients In Zipboard,Article,9,-3.39686,-3.8089874,8.265914,"clients, comments, share, zipboard, internal, access, reviews, client"
KB-136,https://help.zipboard.co/article/136-how-to-share-a-file-in-zipboard,How To Share A File In Zipboard,Article,9,-3.7135596,-3.5652728,8.021724,"guests, file, share, guest, permissions, feedback, access, zipboard"
KB-137,https://help.zipboard.co/article/137-how-to-track-and-prioritise-the-feddback-from-guest-in-zipboard,How To Track And Prioritise The Feddback From Guest In Zipboard,Article,1,-2.5069163,-2.1843565,6.8059287,"reply, feedback, prioritise, select, track, comments, project, task"
KB-138,https://help.zipboard.co/article/138-how-are-guest-collaborators-different-from-guest-reviewers,How Are Guest Collaborators Different From Guest Reviewers,Article,4,-3.020455,-3.449823,8.568177,"guest, reviewers, shared, link, review, invited, sign, internal"
KB-139,https://help.zipboard.co/article/139-who-are-referred-to-as-guests-in-my-zipboard-project,Who Are Referred To As Guests In My Zipboard Project,Article,4,-3.0175662,-3.5075977,8.63987,"referred, guests, admins, addressed, guest, anytime, link, july"
KB-140,https://help.zipboard.co/article/140-do-i-have-a-keyboard-shortcut-to-click-screens-in-zipboard,Do I Have A Keyboard Shortcut To Click Screens In Zipboard,Article,5,-3.051314,-2.1792207,4.987565,"screenshot, shortcut, keyboard, page, screens, visible, integration, ctrl"
KB-142,https://help.zipboard.co/article/142-i-dont-see-a-camera-icon-for-my-video-files-how-to-add-annotations-to-it-while-reviewing,I Dont See A Camera Icon For My Video Files How To Add Annotations To It While Reviewing,Article,5,-2.6833978,-1.9204167,4.4426236,"review, reviewing, board, camera, annotations, add, video, integration"
KB-143,https://help.zipboard.co/article/143-can-i-delete-my-account,Can I Delete My Account,Article,5,-4.020762,-1.1575556,5.1761804,"profile, zipboard, delete, wish, upload, integration, review, oh"
KB-144,https://help.zipboard.co/article/144-can-i-access-all-my-tasks-across-all-projects-at-one-place,Can I Access All My Tasks Across All Projects At One Place,Article,8,-1.5707415,-1.441924,6.082275,"tasks, access, integration, place, comment, 2020, april, task"
KB-145,https://help.zipboard.co/article/145-email-alerts-zipboard,Email Alerts Zipboard,Article,4,-2.1356447,-2.3229396,8.483964,"email, notification, alerts, notified, integration, assigned, daily, task"
KB-148,https://help.zipboard.co/article/148-why-should-i-go-for-an-enterprise-plan,Why Should I Go For An Enterprise Plan,Article,7,-6.8284707,-0.26720735,2.4577188,"plan, enterprise, custom, space, branding, storage, integration, roles"
KB-149,https://help.zipboard.co/article/149-what-custom-branding-options-are-available-with-zipboard-enterprise-plan,What Custom Branding Options Are Available With Zipboard Enterprise Plan,Article,7,-6.888294,-0.20007244,2.5078185,"plan, enterprise, custom, logo, branding, options, integration, zipboard"
KB-150,https://help.zipboard.co/article/150-how-can-i-manage-user-roles-better-with-enterprise-accounts,How Can I Manage User Roles Better With Enterprise Accounts,Article,4,-2.674998,-3.8575485,9.420574,"admin, org, enterprise, guest, roles, managers, clients, reviewers"
KB-151,https://help.zipboard.co/article/151-how-can-i-know-how-much-storage-space-i-have-utilized-for-my-current-plan,How Can I Know How Much Storage Space I Have Utilized For My Current Plan,Article,7,-6.9468765,-0.24778903,2.4473581,"plan, space, storage, enterprise, utilized, org, integration, current"
KB-152,https://help.zipboard.co/article/152-how-can-tags-be-managed-better-with-enterprise-account,How Can Tags Be Managed Better With Enterprise Account,Article,7,-6.9106975,-0.19373533,2.4810812,"enterprise, plan, org, managed, better, tags, integration, manage"
KB-153,https://help.zipboard.co/article/153-what-options-does-the-custom-pricing-plan-offers,What Options Does The Custom Pricing Plan Offers,Article,7,-6.9402876,-0.21775076,2.4604478,"plan, enterprise, private, cloud, custom, instance, pricing, zipboard"
KB-154,https://help.zipboard.co/article/154-can-i-host-my-zipboard-account-on-a-private-cloud,Can I Host My Zipboard Account On A Private Cloud,Article,7,-6.9781218,-0.15866832,2.450535,"private, plan, host, cloud, enterprise, integration, custom, zipboard"
KB-155,https://help.zipboard.co/article/155-if-i-need-a-plan-for-30-projects-would-that-be-possible,If I Need A Plan For 30 Projects Would That Be Possible,Article,7,-6.9289513,-0.2582927,2.4542496,"plan, enterprise, possible, requirements, 30, integration, know, custom"
KB-156,https://help.zipboard.co/article/156-im-unable-to-delete-the-annotations-how-can-i-do-that,Im Unable To Delete The Annotations How Can I Do That,Article,5,-2.6650188,-1.7817196,4.4329453,"delete, annotation, board, annotations, unable, integration, screens, review"
KB-157,https://help.zipboard.co/article/157-how-can-i-get-my-web-hosted-content-reviewed-with-zipboard,How Can I Get My Web Hosted Content Reviewed With Zipboard,Article,5,-3.7023942,-2.4245255,5.2243896,"content, review, web, hosted, reviewed, share, link, browse"
KB-158,https://help.zipboard.co/article/158-how-to-upload-and-review-scorm-valid-html-content-with-zipboard,How To Upload And Review Scorm Valid HTML Content With Zipboard,Article,5,-3.968329,-2.418189,5.2680645,"file, start, root, review, content, html, upload, share"
KB-159,https://help.zipboard.co/article/159-how-can-i-get-feedback-on-pdf-content,How Can I Get Feedback On Pdf Content,Article,5,-3.6998944,-2.4548566,5.3206763,"content, review, upload, share, link, pdf, browse, september"
KB-160,https://help.zipboard.co/article/160-how-to-upload-and-review-image-files-with-zipboard,How To Upload And Review Image Files With Zipboard,Article,5,-3.764983,-2.4096777,5.3098264,"images, review, upload, share, zipboard, uploaded, link, uploading"
KB-161,https://help.zipboard.co/article/161-how-to-upload-and-review-video-files-with-zipboard,How To Upload And Review Video Files With Zipboard,Article,5,-3.567926,-2.490311,5.1509852,"videos, upload, review, uploads, mp4, share, link, file"
KB-161,https://help.zipboard.co/article/161-video-timestamp-comment,Video Timestamp Comment,Article,5,-3.555066,-2.55724,5.144664,"videos, upload, review, uploads, mp4, share, link, file"
KB-163,https://help.zipboard.co/article/163-how-can-i-work-on-diffrent-versions-of-my-files-with-zipboard,How Can I Work On Diffrent Versions Of My Files With Zipboard,Article,1,-3.032253,-2.441401,6.6910353,"versions, version, file, add, zipboard, work, different, testing"
KB-164,https://help.zipboard.co/article/164-what-is-the-add-client-button-for,What Is The Add Client Button For,Article,9,-3.2869167,-3.8983,8.334796,"clients, internal, zipboard, invitation, simplify, project, feedback, activities"
KB-165,https://help.zipboard.co/article/165-how-to-switch-to-kanban-view-for-tasks,How To Switch To Kanban View For Tasks,Article,8,-1.4519832,-1.4888694,6.161587,"switch, kanban, view, tasks, table, integration, anytime, ease"
KB-166,https://help.zipboard.co/article/166-how-can-i-record-a-screen-for-review-using-zipboard,How Can I Record A Screen For Review Using Zipboard,Article,5,-2.4441798,-2.4153826,5.0356684,"screen, record, recording, select, review, like, stop, want"
